record,R,valid_fraction,spo2_ref,spo2_est
s1_walk,0.3836226971564947,1.0,96.5,97.34301095678153
s1_run,0.3277847604926352,0.7333333333333333,98.5,97.90428414007755
s1_sit,0.5489544430314999,1.0,98.0,96.75365404641148
s2_walk,0.4386649018287059,1.0,96.0,96.96874611031299
s2_run,0.49590719795194566,0.5333333333333333,96.0,96.76804438749828
s2_sit,0.5134921278231878,1.0,96.0,96.74498316020603
s3_sit,0.43029344120737056,1.0,97.0,97.01420897767291
s3_walk,0.40854089257884796,1.0,97.0,97.15156033548926
s3_run,0.485418358284546,1.0,94.5,96.79043651000224
s4_sit,0.44558247752822006,1.0,97.5,96.9342809902366
s4_run,0.41695983836609063,0.9333333333333333,97.5,97.09510833016168
s4_walk,0.419886392066945,1.0,97.5,97.07645863796137
s5_walk,0.4821840903545173,1.0,97.0,96.79864302807303
s5_run,0.49173645321811477,1.0,97.0,96.77617540466657
s5_sit,0.5231526061073143,1.0,97.0,96.74003424871344
s6_run,0.4661516493843988,1.0,97.0,96.84838331007364
s6_sit,0.5141675779404424,1.0,96.5,96.74445912955612
s6_walk,0.4170679265007544,1.0,96.5,97.09441059459466
s7_walk,0.35864043201258883,0.9333333333333333,97.5,97.57151866388617
s7_run,0.3687054689104645,1.0,97.5,97.47505198365116
s7_sit,0.3586707457544095,1.0,97.5,97.57121920464196
s8_sit,0.41472999671881766,0.9333333333333333,97.0,97.10965541679941
s8_run,0.6839427470322014,0.8666666666666667,97.5,97.4615327594558
s8_walk,0.6115473523264207,0.4,97.5,96.94897957616153
s9_walk,0.4572804090341436,0.4666666666666667,98.5,96.88238613145904
s9_sit,0.3969796418689243,1.0,98.5,97.23585795529885
s9_run,0.6609841853326427,0.6666666666666666,98.0,97.26569744661346
s10_run,0.4712960209480236,1.0,96.5,96.83078011763985
s10_walk,0.5120788989810987,0.9333333333333333,96.0,96.74616615631439
s10_sit,0.44518618351982275,1.0,96.5,96.93617962622528
s11_sit,0.4284238829179667,1.0,97.5,97.02492355958779
s11_walk,0.5425665804333915,1.0,98.0,96.74664468811517
s11_run,0.45951536105510493,1.0,97.0,96.87338469091614
s12_walk,0.4010419929359136,0.9333333333333333,96.5,97.20534424247622
s12_run,0.40521911258008386,0.9333333333333333,95.5,97.17497795667275
s12_sit,0.40856411584302194,1.0,96.0,97.1513988964525
s13_walk,0.5083355587914147,0.9333333333333333,98.0,96.74986582993272
s13_sit,0.41656480696634923,1.0,97.5,97.09766418475546
s13_run,0.44488885510411175,1.0,97.0,96.93761016925188
s14_run,0.3921454005383431,1.0,96.5,97.27343107731096
s14_walk,0.43359477835212396,1.0,97.5,96.99578946734903
s14_sit,0.41527452543305365,1.0,96.5,97.10607609209922
s15_walk,0.3976508696034339,0.8666666666666667,98.5,97.23074936972199
s15_sit,0.30287562351651665,0.8666666666666667,98.5,98.21366108361175
s15_run,0.3919458145016636,1.0,98.0,97.27501178605925
s16_sit,0.35705654639014867,1.0,97.0,97.58724032724346
s16_run,0.41766545716514164,1.0,97.0,97.09056575359183
s16_walk,0.4143310228644366,1.0,97.0,97.11228901382127
s17_run,0.5518429621636427,1.0,95.0,96.7576095237132
s17_walk,0.6077958561572029,1.0,95.0,96.93079814413184
s17_sit,0.4592903761850535,1.0,96.0,96.87427757087738
s18_run,0.3463354428435484,1.0,97.0,97.69752753830247
s18_walk,0.4153785165082237,1.0,96.5,97.10539451060238
s18_sit,0.3762424367402247,1.0,97.0,97.40670638450192
s19_walk,0.4424497163972985,0.8666666666666667,98.0,96.949541426756
s19_sit,0.4377717065808242,1.0,97.5,96.97340086515756
s19_run,0.4455780048911247,0.8,97.5,96.93430236714192
s20_run,0.40604022451669103,1.0,97.0,97.16912912064915
s20_walk,0.4787270957075516,0.9333333333333333,97.0,96.80809316025157
s20_sit,0.4319037406379745,0.9333333333333333,97.0,97.0051445878385
s21_walk,0.40907880083961695,1.0,98.5,97.14782912833131
s21_sit,0.39074191336762926,1.0,98.0,97.28459616610733
s21_run,0.46744101217210776,1.0,98.0,96.84382553294061
s22_walk,0.4673429705697612,1.0,97.5,96.84416867502092
s22_run,0.4704666827483438,1.0,97.0,96.83351301177028
s22_sit,0.43182097639840067,1.0,96.5,97.00560676029744
